epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.9138,0.54637,0.92601,1,0.18453,0.000414683,0.000414683,0.000414683
2,48.8705,0.30088,0.88067,1,0.26019,0.000803915,0.000803915,0.000803915
3,69.9156,0.31935,0.91885,1,0.23224,0.00116565,0.00116565,0.00116565
4,90.2368,0.27671,0.94272,1,0.15742,0.00112625,0.00112625,0.00112625
5,111.103,0.27201,0.92601,1,0.2128,0.001085,0.001085,0.001085
6,132.013,0.22295,0.94511,1,0.21415,0.00104375,0.00104375,0.00104375
7,152.858,0.20222,0.93079,1,0.16624,0.0010025,0.0010025,0.0010025
8,173.012,0.18426,0.93556,1,0.13812,0.00096125,0.00096125,0.00096125
9,193.105,0.18885,0.94511,1,0.1794,0.00092,0.00092,0.00092
10,214.359,0.16967,0.9642,1,0.09908,0.00087875,0.00087875,0.00087875
11,234.788,0.16963,0.92601,1,0.1936,0.0008375,0.0008375,0.0008375
12,256.286,0.15296,0.94272,1,0.13484,0.00079625,0.00079625,0.00079625
13,278.259,0.15157,0.94988,1,0.10749,0.000755,0.000755,0.000755
14,298.742,0.13168,0.94272,1,0.1633,0.00071375,0.00071375,0.00071375
15,319.767,0.1332,0.94988,1,0.10997,0.0006725,0.0006725,0.0006725
16,340.19,0.11977,0.96181,1,0.10837,0.00063125,0.00063125,0.00063125
17,360.931,0.12274,0.95227,1,0.11332,0.00059,0.00059,0.00059
18,381.83,0.10997,0.94988,1,0.11361,0.00054875,0.00054875,0.00054875
19,402.234,0.11187,0.95704,1,0.13543,0.0005075,0.0005075,0.0005075
20,423.369,0.10536,0.96181,1,0.09169,0.00046625,0.00046625,0.00046625
21,444.929,0.09592,0.95704,1,0.12684,0.000425,0.000425,0.000425
22,465.675,0.09997,0.97136,1,0.10613,0.00038375,0.00038375,0.00038375
23,486.314,0.09,0.95465,1,0.11445,0.0003425,0.0003425,0.0003425
24,507.204,0.08926,0.96181,1,0.10694,0.00030125,0.00030125,0.00030125
25,527.69,0.08116,0.95943,1,0.10266,0.00026,0.00026,0.00026
26,548.801,0.07442,0.95704,1,0.11866,0.00021875,0.00021875,0.00021875
27,569.374,0.07232,0.95465,1,0.12661,0.0001775,0.0001775,0.0001775
28,590.162,0.07277,0.95704,1,0.11276,0.00013625,0.00013625,0.00013625
29,610.896,0.06867,0.9642,1,0.17718,9.5e-05,9.5e-05,9.5e-05
30,631.867,0.05887,0.96181,1,0.10585,5.375e-05,5.375e-05,5.375e-05
